L   1	[{"item":2,"quantity":15}]
L7505	[{"item": 17, "quantity": 69}, {"item": 29, "quantity": 89}]
L7508	[{"item": 17, "quantity": 80}, {"item": 25, "quantity": 50}]
L7510	[{"item": 17, "quantity": 141}, {"item": 29, "quantity": 56}]
L7512	[{"item": 17, "quantity": 22}, {"item": 18, "quantity": 4}, {"item": 25, "quantity": 75}]
L7517	[{"item": 16, "quantity": 40}, {"item": 19, "quantity": 17}]
L7520	[{"item": 17, "quantity": 66}, {"item": 25, "quantity": 66}]
L7523	[{"item": 30, "quantity": 5}, {"item": 26, "quantity": 122}, {"item": 28, "quantity": 92}]
L7525	[{"item": 19, "quantity": 20}, {"item": 25, "quantity": 96}]
L7526	[{"item": 19, "quantity": 15}, {"item": 32, "quantity": 44}]
L7527	[{"item": 32, "quantity": 60}, {"item": 25, "quantity": 86}]
L7530	[{"item": 29, "quantity": 46}, {"item": 32, "quantity": 36}]
L7531	[{"item": 29, "quantity": 69}, {"item": 19, "quantity": 19}]
L7536	[{"item": 29, "quantity": 40}, {"item": 20, "quantity": 23}, {"item": 19, "quantity": 21}]
L7537	[{"item": 17, "quantity": 105}, {"item": 29, "quantity": 103}]
L7538	[{"item": 30, "quantity": 4}, {"item": 32, "quantity": 38}]
L7543	[{"item": 17, "quantity": 96}, {"item": 32, "quantity": 21}]
L7546	[{"item": 32, "quantity": 83}, {"item": 18, "quantity": 4}]
L7551	[{"item": 3, "quantity": 20}]
L7553	[{"item": 18, "quantity": 4}, {"item": 17, "quantity": 80}, {"item": 28, "quantity": 96}]
L7556	[{"item": 17, "quantity": 102}]
L7558	[{"item": 17, "quantity": 171}]
L7560	[{"item": 26, "quantity": 50}, {"item": 25, "quantity": 60}]
L7564	[{"item": 19, "quantity": 22}, {"item": 17, "quantity": 69}]
L7567	[{"item": 22, "quantity": 2}, {"item": 29, "quantity": 67}]
L7568	[{"item": 25, "quantity": 69}, {"item": 18, "quantity": 18}]
L7571	[{"item": 17, "quantity": 60}]
L7574	[{"item": 17, "quantity": 68}, {"item": 29, "quantity": 90}]
L7575	[{"item": 25, "quantity": 80}, {"item": 29, "quantity": 35}, {"item": 30, "quantity": 1}]
L7576	[{"item": 25, "quantity": 144}, {"item": 28, "quantity": 82}]
L7583	[{"item": 25, "quantity": 9}, {"item": 17, "quantity": 14}]
L7584	[{"item": 33, "quantity": 238}]
L7587	[{"item": 25, "quantity": 120}, {"item": 32, "quantity": 20}, {"item": 29, "quantity": 63}]
L7590	[{"item": 25, "quantity": 33}, {"item": 28, "quantity": 26}]
L7591	[{"item": 17, "quantity": 70}, {"item": 32, "quantity": 24}]
L7593	[{"item": 25, "quantity": 76}]
L7596	[{"item": 17, "quantity": 14}]
L7602	[{"item": 19, "quantity": 5}]
L7603	[{"item": 16, "quantity": 12}]
L7607	[{"item": 32, "quantity": 200}, {"item": 17, "quantity": 150}]
L7610	[{"item": 17, "quantity": 47}]
L7614	[{"item": 19, "quantity": 24}, {"item": 25, "quantity": 30}]
L7617	[{"item": 17, "quantity": 70}, {"item": 21, "quantity": 20}]
L7618	[{"item": 19, "quantity": 25}]
L7622	[{"item": 19, "quantity": 1}, {"item": 17, "quantity": 9}, {"item": 32, "quantity": 9}]
L7625	[{"item": 19, "quantity": 23}]
L7627	[{"item": 32, "quantity": 60}, {"item": 25, "quantity": 102}]
L7632	[{"item": 25, "quantity": 72}]
L7633	[{"item": 25, "quantity": 47}]
L7634	[{"item": 25, "quantity": 29}]
L7637	[{"item": 26, "quantity": 19}]
L7638	[{"item": 17, "quantity": 27}]
L7640	[{"item": 24, "quantity": 2}]
L7643	[{"item": 25, "quantity": 96}, {"item": 27, "quantity": 36}, {"item": 28, "quantity": 23}]
L7645	[{"item": 25, "quantity": 90}]
L7646	[{"item": 32, "quantity": 91}, {"item": 21, "quantity": 41}]
L7649	[{"item": 25, "quantity": 99}]
L7651	[{"item": 28, "quantity": 40}, {"item": 17, "quantity": 40}]
L7652	[{"item": 28, "quantity": 68}, {"item": 17, "quantity": 105}]
L7656	[{"item": 31, "quantity": 36}, {"item": 18, "quantity": 3}]
L7659	[{"item": 33, "quantity": 121}, {"item": 31, "quantity": 121}]
L7662	[{"item": 17, "quantity": 54}]
L7663	[{"item": 25, "quantity": 92}]
L7667	[{"item": 33, "quantity": 129}, {"item": 24, "quantity": 4}, {"item": 26, "quantity": 60}]
L7670	[{"item": 22, "quantity": 1}, {"item": 25, "quantity": 62}]
L7671	[{"item": 29, "quantity": 97}, {"item": 32, "quantity": 105}]
L7674	[{"item": 17, "quantity": 86}]
L7677	[{"item": 17, "quantity": 48}, {"item": 22, "quantity": 2}]
L7678	[{"item": 32, "quantity": 80}, {"item": 17, "quantity": 71}]
L7680	[{"item": 32, "quantity": 32}, {"item": 17, "quantity": 35}]
L7681	[{"item": 25, "quantity": 63}, {"item": 17, "quantity": 145}]
L7684	[{"item": 17, "quantity": 99}, {"item": 32, "quantity": 81}]
L7686	[{"item": 32, "quantity": 30}, {"item": 17, "quantity": 40}]
L7688	[{"item": 19, "quantity": 16}, {"item": 25, "quantity": 54}]
L7691	[{"item": 17, "quantity": 160}, {"item": 28, "quantity": 126}, {"item": 32, "quantity": 66}]
L7692	[{"item": 19, "quantity": 32}, {"item": 24, "quantity": 4}]
L7694	[{"item": 29, "quantity": 87}, {"item": 21, "quantity": 2}, {"item": 33, "quantity": 25}]
L7695	[{"item": 25, "quantity": 58}, {"item": 29, "quantity": 78}]
L7698	[{"item": 32, "quantity": 18}, {"item": 20, "quantity": 25}]
L7700	[{"item": 17, "quantity": 74}]
L7701	[{"item": 25, "quantity": 36}, {"item": 24, "quantity": 9}]
L7702	[{"item": 25, "quantity": 60}]
L7705	[{"item": 29, "quantity": 144}, {"item": 17, "quantity": 40}]
L7707	[{"item": 19, "quantity": 11}, {"item": 17, "quantity": 55}]
L7708	[{"item": 25, "quantity": 51}, {"item": 19, "quantity": 35}, {"item": 21, "quantity": 10}]
L7711	[{"item": 25, "quantity": 81}]
L7712	[{"item": 31, "quantity": 300}]
L7716	[{"item": 25, "quantity": 63}]
L7717	[{"item": 17, "quantity": 110}, {"item": 19, "quantity": 30}]
L7721	[{"item": 22, "quantity": 4}, {"item": 33, "quantity": 102}]
L7722	[{"item": 29, "quantity": 400}]
L7723	[{"item": 28, "quantity": 36}, {"item": 19, "quantity": 28}]
L7726	[{"item": 17, "quantity": 72}]
L7728	[{"item": 25, "quantity": 45}]
L7732	[{"item": 32, "quantity": 48}, {"item": 25, "quantity": 55}]
L7733	[{"item": 17, "quantity": 80}, {"item": 28, "quantity": 42}]
L7737	[{"item": 29, "quantity": 95}, {"item": 32, "quantity": 100}, {"item": 28, "quantity": 95}]
L7738	[{"item": 3, "quantity": 10}]
L7741	[{"item": 25, "quantity": 89}, {"item": 32, "quantity": 26}]
L7742	[{"item": 32, "quantity": 160}]
L7747	[{"item": 22, "quantity": 6}, {"item": 17, "quantity": 105}]
L7749	[{"item": 17, "quantity": 107}, {"item": 32, "quantity": 112}]
L7753	[{"item": 25, "quantity": 86}]
L7756	[{"item": 28, "quantity": 54}, {"item": 21, "quantity": 10}, {"item": 30, "quantity": 1}]
L7757	[{"item": 25, "quantity": 117}, {"item": 32, "quantity": 25}]
L7759	[{"item": 3, "quantity": 14}, {"item": 30, "quantity": 3}]
L7762	[{"item": 17, "quantity": 176}]
L7763	[{"item": 32, "quantity": 38}, {"item": 25, "quantity": 80}]
L7765	[{"item": 19, "quantity": 37}, {"item": 25, "quantity": 36}]
L7767	[{"item": 24, "quantity": 23}]
L7770	[{"item": 25, "quantity": 60}]
L7772	[{"item": 25, "quantity": 92}, {"item": 30, "quantity": 5}]
L7773	[{"item": 25, "quantity": 68}, {"item": 29, "quantity": 54}]
L7777	[{"item": 8, "quantity": 400}]
L7779	[{"item": 19, "quantity": 19}, {"item": 25, "quantity": 61}]
L7782	[{"item": 21, "quantity": 50}, {"item": 33, "quantity": 60}]
L7787	[{"item": 17, "quantity": 68}, {"item": 19, "quantity": 16}]
L7790	[{"item": 25, "quantity": 100}]
L7792	[{"item": 32, "quantity": 28}, {"item": 25, "quantity": 60}]
L7793	[{"item": 19, "quantity": 18}]
L7795	[{"item": 29, "quantity": 97}, {"item": 22, "quantity": 4}, {"item": 19, "quantity": 35}]
L7797	[{"item": 19, "quantity": 26}]
L7799	[{"item": 25, "quantity": 57}, {"item": 29, "quantity": 36}]
L7801	[{"item": 19, "quantity": 27}]
L7803	[{"item": 17, "quantity": 45}, {"item": 22, "quantity": 2}, {"item": 19, "quantity": 16}]
L7805	[{"item": 17, "quantity": 65}]
L7808	[{"item": 29, "quantity": 190}, {"item": 19, "quantity": 30}]
L7811	[{"item": 19, "quantity": 38}]
L7812	[{"item": 29, "quantity": 36}, {"item": 9, "quantity": 5}, {"item": 8, "quantity": 20}]
L7815	[{"item": 17, "quantity": 72}]
L7816	[{"item": 21, "quantity": 50}]
L7818	[{"item": 16, "quantity": 13}, {"item": 29, "quantity": 95}, {"item": 28, "quantity": 30}]
L7821	[{"item": 27, "quantity": 90}, {"item": 4, "quantity": 90}]
L7822	[{"item": 16, "quantity": 18}, {"item": 25, "quantity": 75}]
L7824	[{"item": 32, "quantity": 45}, {"item": 19, "quantity": 28}]
L7826	[{"item": 24, "quantity": 2}, {"item": 17, "quantity": 14}]
L7827	[{"item": 24, "quantity": 4}]
L7830	[{"item": 17, "quantity": 37}, {"item": 25, "quantity": 83}]
L7831	[{"item": 30, "quantity": 3}, {"item": 26, "quantity": 72}, {"item": 28, "quantity": 75}]
L7836	[{"item": 17, "quantity": 54}, {"item": 25, "quantity": 36}]
L7838	[{"item": 25, "quantity": 158}]
L7840	[{"item": 19, "quantity": 39}]
L7841	[{"item": 25, "quantity": 99}]
L7843	[{"item": 32, "quantity": 49}]
L7846	[{"item": 17, "quantity": 30}, {"item": 8, "quantity": 20}, {"item": 30, "quantity": 1}]
L7848	[{"item": 25, "quantity": 116}, {"item": 32, "quantity": 56}]
L7851	[{"item": 26, "quantity": 80}, {"item": 30, "quantity": 4}]
L7852	[{"item": 17, "quantity": 48}, {"item": 16, "quantity": 10}]
L7856	[{"item": 27, "quantity": 60}, {"item": 25, "quantity": 64}]
L7859	[{"item": 26, "quantity": 36}, {"item": 19, "quantity": 20}, {"item": 30, "quantity": 3}]
L7862	[{"item": 17, "quantity": 88}, {"item": 32, "quantity": 60}]
L7866	[{"item": 33, "quantity": 36}, {"item": 18, "quantity": 6}]
L7868	[{"item": 25, "quantity": 95}]
L7871	[{"item": 24, "quantity": 3}, {"item": 22, "quantity": 2}]
L7873	[{"item": 17, "quantity": 152}, {"item": 18, "quantity": 3}]
L7875	[{"item": 25, "quantity": 42}, {"item": 17, "quantity": 40}]
L7879	[{"item": 17, "quantity": 91}]
L7881	[{"item": 17, "quantity": 6}, {"item": 29, "quantity": 6}]
L7882	[{"item": 32, "quantity": 24}, {"item": 25, "quantity": 63}]
L7884	[{"item": 17, "quantity": 14}, {"item": 29, "quantity": 61}]
L7886	[{"item": 17, "quantity": 39}]
L7887	[{"item": 26, "quantity": 35}]
L7890	[{"item": 17, "quantity": 24}, {"item": 25, "quantity": 24}]
L7891	[{"item": 32, "quantity": 64}, {"item": 22, "quantity": 2}, {"item": 17, "quantity": 2}]
L7896	[{"item": 17, "quantity": 69}]
L7901	[{"item": 25, "quantity": 50}]
L7903	[{"item": 19, "quantity": 40}, {"item": 22, "quantity": 1}, {"item": 32, "quantity": 20}]
L7904	[{"item": 17, "quantity": 54}, {"item": 32, "quantity": 40}]
L7906	[{"item": 17, "quantity": 32}, {"item": 29, "quantity": 53}]
L7907	[{"item": 17, "quantity": 44}, {"item": 29, "quantity": 55}]
L7912	[{"item": 32, "quantity": 36}, {"item": 17, "quantity": 42}]
L7914	[{"item": 17, "quantity": 37}, {"item": 19, "quantity": 20}]
L7918	[{"item": 32, "quantity": 100}, {"item": 33, "quantity": 60}]
L7922	[{"item": 19, "quantity": 39}, {"item": 30, "quantity": 3}]
L7924	[{"item": 25, "quantity": 104}]
L7926	[{"item": 24, "quantity": 28}, {"item": 25, "quantity": 67}]
L7927	[{"item": 25, "quantity": 50}, {"item": 17, "quantity": 20}]
L7931	[{"item": 17, "quantity": 65}]
L7933	[{"item": 26, "quantity": 98}, {"item": 29, "quantity": 90}]
L7935	[{"item": 25, "quantity": 105}, {"item": 30, "quantity": 5}]
L7938	[{"item": 16, "quantity": 18}, {"item": 26, "quantity": 18}]
L7941	[{"item": 24, "quantity": 4}, {"item": 19, "quantity": 20}, {"item": 17, "quantity": 120}]
L7942	[{"item": 25, "quantity": 77}]
L7944	[{"item": 25, "quantity": 90}, {"item": 21, "quantity": 33}]
L7946	[{"item": 25, "quantity": 12}]
L7947	[{"item": 25, "quantity": 31}, {"item": 17, "quantity": 24}]
L7950	[{"item": 25, "quantity": 148}]
L7951	[{"item": 25, "quantity": 31}]
L7956	[{"item": 25, "quantity": 112}, {"item": 32, "quantity": 110}]
L7958	[{"item": 17, "quantity": 45}]
L7960	[{"item": 17, "quantity": 36}, {"item": 18, "quantity": 3}]
L7962	[{"item": 25, "quantity": 40}]
L7964	[{"item": 6, "quantity": 150}]
L7966	[{"item": 26, "quantity": 20}, {"item": 25, "quantity": 22}]
L7968	[{"item": 29, "quantity": 40}, {"item": 32, "quantity": 34}]
L7970	[{"item": 19, "quantity": 36}]
L7972	[{"item": 30, "quantity": 4}, {"item": 24, "quantity": 6}, {"item": 25, "quantity": 50}]
L7974	[{"item": 19, "quantity": 80}]
L7978	[{"item": 25, "quantity": 30}, {"item": 29, "quantity": 45}]
L7981	[{"item": 30, "quantity": 4}, {"item": 16, "quantity": 40}]
L7982	[{"item": 20, "quantity": 8}, {"item": 21, "quantity": 20}]
L7984	[{"item": 19, "quantity": 12}]
L7988	[{"item": 21, "quantity": 18}, {"item": 28, "quantity": 54}]
L7991	[{"item": 8, "quantity": 35}]
L7995	[{"item": 25, "quantity": 72}]
L7998	[{"item": 21, "quantity": 20}]
L7999	[{"item": 32, "quantity": 84}, {"item": 25, "quantity": 66}]
L8001	[{"item": 17, "quantity": 18}, {"item": 29, "quantity": 70}]
L8002	[{"item": 17, "quantity": 155}]
L8003	[{"item": 17, "quantity": 36}, {"item": 25, "quantity": 60}]
L8006	[{"item": 25, "quantity": 53}, {"item": 29, "quantity": 60}]
L8010	[{"item": 19, "quantity": 13}, {"item": 28, "quantity": 48}, {"item": 25, "quantity": 13}]
L8011	[{"item": 25, "quantity": 63}]
L8014	[{"item": 17, "quantity": 38}, {"item": 25, "quantity": 27}]
L8016	[{"item": 22, "quantity": 4}, {"item": 29, "quantity": 20}, {"item": 33, "quantity": 48}]
L8019	[{"item": 3, "quantity": 10}]
L8020	[{"item": 22, "quantity": 4}]
L8024	[{"item": 21, "quantity": 36}]
L8025	[{"item": 19, "quantity": 18}]
L8027	[{"item": 17, "quantity": 50}, {"item": 25, "quantity": 28}]
L8028	[{"item": 22, "quantity": 2}]
L8031	[{"item": 17, "quantity": 6}]
L8035	[{"item": 21, "quantity": 10}]
L8037	[{"item": 17, "quantity": 20}, {"item": 34, "quantity": 5}]
L8042	[{"item": 17, "quantity": 48}]
L8043	[{"item": 17, "quantity": 32}, {"item": 31, "quantity": 12}]
L8048	[{"item": 29, "quantity": 60}, {"item": 24, "quantity": 2}, {"item": 21, "quantity": 14}]
L8051	[{"item": 19, "quantity": 23}]
L8053	[{"item": 17, "quantity": 40}, {"item": 25, "quantity": 41}]
L8057	[{"item": 29, "quantity": 195}]
L8060	[{"item": 21, "quantity": 100}, {"item": 17, "quantity": 100}, {"item": 28, "quantity": 120}]
L8061	[{"item": 25, "quantity": 70}]
L8062	[{"item": 29, "quantity": 86}, {"item": 17, "quantity": 51}, {"item": 18, "quantity": 7}]
L8064	[{"item": 29, "quantity": 24}, {"item": 30, "quantity": 3}]
L8066	[{"item": 17, "quantity": 63}]
L8067	[{"item": 22, "quantity": 2}, {"item": 29, "quantity": 60}, {"item": 17, "quantity": 55}]
L8075	[{"item": 19, "quantity": 14}, {"item": 25, "quantity": 56}]
L8078	[{"item": 17, "quantity": 108}]
L8081	[{"item": 25, "quantity": 52}]
L8085	[{"item": 17, "quantity": 5}]
L8088	[{"item": 17, "quantity": 4}]
L8089	[{"item": 19, "quantity": 28}, {"item": 17, "quantity": 32}]
L8093	[{"item": 6, "quantity": 150}]
L8098	[{"item": 17, "quantity": 32}]
L8101	[{"item": 26, "quantity": 60}]
L8103	[{"item": 3, "quantity": 10}]
L8110	[{"item": 26, "quantity": 60}, {"item": 17, "quantity": 115}]
L8112	[{"item": 19, "quantity": 35}, {"item": 25, "quantity": 46}]
L8113	[{"item": 17, "quantity": 53}]
L8114	[{"item": 33, "quantity": 108}, {"item": 18, "quantity": 10}, {"item": 25, "quantity": 83}]
L8118	[{"item": 17, "quantity": 30}]
L8119	[{"item": 26, "quantity": 85}]
L8121	[{"item": 25, "quantity": 100}]
L8124	[{"item": 3, "quantity": 10}]
L8125	[{"item": 25, "quantity": 38}]
L8127	[{"item": 25, "quantity": 81}, {"item": 28, "quantity": 48}]
L8130	[{"item": 16, "quantity": 15}, {"item": 26, "quantity": 33}, {"item": 19, "quantity": 28}]
L8132	[{"item": 27, "quantity": 115}, {"item": 29, "quantity": 284}]
L8135	[{"item": 19, "quantity": 20}]
L8137	[{"item": 20, "quantity": 65}, {"item": 21, "quantity": 40}]
L8139	[{"item": 32, "quantity": 40}]
L8140	[{"item": 25, "quantity": 70}]
L8143	[{"item": 25, "quantity": 96}]
L8147	[{"item": 32, "quantity": 70}, {"item": 22, "quantity": 2}, {"item": 25, "quantity": 140}]
L8148	[{"item": 30, "quantity": 6}, {"item": 22, "quantity": 2}]
L8152	[{"item": 19, "quantity": 7}]
L8153	[{"item": 30, "quantity": 5}, {"item": 32, "quantity": 108}, {"item": 17, "quantity": 16}]
L8154	[{"item": 32, "quantity": 30}, {"item": 29, "quantity": 20}]
L8157	[{"item": 29, "quantity": 59}, {"item": 32, "quantity": 12}]
L8158	[{"item": 31, "quantity": 65}, {"item": 25, "quantity": 25}, {"item": 24, "quantity": 6}]
L8159	[{"item": 17, "quantity": 100}]
L8163	[{"item": 19, "quantity": 40}]
L8164	[{"item": 25, "quantity": 107}, {"item": 17, "quantity": 15}]
L8166	[{"item": 16, "quantity": 20}, {"item": 19, "quantity": 16}]
L8168	[{"item": 3, "quantity": 30}, {"item": 17, "quantity": 30}]
L8171	[{"item": 17, "quantity": 56}, {"item": 25, "quantity": 45}]
L8172	[{"item": 8, "quantity": 50}, {"item": 32, "quantity": 200}, {"item": 33, "quantity": 69}]
L8175	[{"item": 28, "quantity": 58}, {"item": 26, "quantity": 99}]
L8178	[{"item": 25, "quantity": 16}, {"item": 17, "quantity": 62}]
L8180	[{"item": 29, "quantity": 117}, {"item": 19, "quantity": 60}]
L8183	[{"item": 24, "quantity": 7}, {"item": 28, "quantity": 22}]
L8184	[{"item": 19, "quantity": 25}]
L8188	[{"item": 25, "quantity": 55}]
L8190	[{"item": 19, "quantity": 15}, {"item": 32, "quantity": 56}]
L8192	[{"item": 19, "quantity": 23}]
L8194	[{"item": 33, "quantity": 358}]
L8196	[{"item": 25, "quantity": 129}]
L8200	[{"item": 17, "quantity": 22}, {"item": 19, "quantity": 12}]
L8201	[{"item": 17, "quantity": 77}, {"item": 29, "quantity": 49}]
L8204	[{"item": 25, "quantity": 56}]
L8206	[{"item": 21, "quantity": 12}]
L8211	[{"item": 17, "quantity": 87}]
L8212	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 152}, {"item": 21, "quantity": 20}]
L8213	[{"item": 17, "quantity": 38}, {"item": 26, "quantity": 18}]
L8215	[{"item": 19, "quantity": 28}]
L8216	[{"item": 32, "quantity": 52}, {"item": 17, "quantity": 26}]
L8224	[{"item": 17, "quantity": 87}]
L8225	[{"item": 25, "quantity": 80}]
L8228	[{"item": 26, "quantity": 39}, {"item": 4, "quantity": 100}, {"item": 9, "quantity": 8}]
L8231	[{"item": 19, "quantity": 22}, {"item": 21, "quantity": 35}]
L8239	[{"item": 17, "quantity": 64}, {"item": 19, "quantity": 16}]
L8241	[{"item": 32, "quantity": 72}, {"item": 19, "quantity": 12}, {"item": 25, "quantity": 54}]
L8243	[{"item": 34, "quantity": 5}, {"item": 17, "quantity": 152}, {"item": 30, "quantity": 2}]
L8244	[{"item": 18, "quantity": 2}, {"item": 25, "quantity": 36}]
L8246	[{"item": 24, "quantity": 1}, {"item": 20, "quantity": 60}]
L8250	[{"item": 25, "quantity": 47}, {"item": 32, "quantity": 21}]
L8251	[{"item": 29, "quantity": 100}, {"item": 19, "quantity": 38}, {"item": 31, "quantity": 54}]
L8253	[{"item": 31, "quantity": 150}]
L8257	[{"item": 19, "quantity": 12}]
L8258	[{"item": 29, "quantity": 36}]
L8260	[{"item": 19, "quantity": 35}, {"item": 25, "quantity": 42}, {"item": 24, "quantity": 15}]
L8261	[{"item": 17, "quantity": 102}]
L8263	[{"item": 25, "quantity": 46}, {"item": 17, "quantity": 26}]
L8266	[{"item": 18, "quantity": 3}]
L8267	[{"item": 25, "quantity": 60}, {"item": 30, "quantity": 4}]
L8270	[{"item": 25, "quantity": 2}, {"item": 22, "quantity": 2}, {"item": 19, "quantity": 2}]
L8271	[{"item": 32, "quantity": 41}, {"item": 17, "quantity": 42}]
L8273	[{"item": 22, "quantity": 1}, {"item": 19, "quantity": 12}, {"item": 34, "quantity": 5}]
L8276	[{"item": 25, "quantity": 5}, {"item": 8, "quantity": 30}]
L8278	[{"item": 25, "quantity": 1}, {"item": 19, "quantity": 11}]
L8280	[{"item": 25, "quantity": 60}, {"item": 24, "quantity": 5}, {"item": 29, "quantity": 25}]
L8281	[{"item": 25, "quantity": 98}, {"item": 29, "quantity": 40}]
L8284	[{"item": 22, "quantity": 2}, {"item": 32, "quantity": 72}]
L8287	[{"item": 25, "quantity": 105}]
L8288	[{"item": 17, "quantity": 141}, {"item": 34, "quantity": 5}]
L8289	[{"item": 17, "quantity": 60}, {"item": 19, "quantity": 28}]
L8293	[{"item": 17, "quantity": 51}, {"item": 29, "quantity": 84}]
L8296	[{"item": 24, "quantity": 10}, {"item": 26, "quantity": 20}, {"item": 19, "quantity": 32}]
L8300	[{"item": 29, "quantity": 83}]
L8301	[{"item": 18, "quantity": 11}, {"item": 19, "quantity": 12}]
L8304	[{"item": 30, "quantity": 3}, {"item": 32, "quantity": 90}]
L8307	[{"item": 22, "quantity": 2}]
L8308	[{"item": 19, "quantity": 18}]
L8309	[{"item": 28, "quantity": 149}, {"item": 30, "quantity": 5}]
L8311	[{"item": 19, "quantity": 32}, {"item": 29, "quantity": 135}, {"item": 30, "quantity": 5}]
L8313	[{"item": 17, "quantity": 20}, {"item": 29, "quantity": 70}]
L8315	[{"item": 17, "quantity": 96}, {"item": 25, "quantity": 125}]
L8316	[{"item": 25, "quantity": 54}, {"item": 17, "quantity": 8}]
L8317	[{"item": 25, "quantity": 64}]
L8318	[{"item": 25, "quantity": 56}]
L8321	[{"item": 25, "quantity": 36}, {"item": 19, "quantity": 36}]
L8324	[{"item": 19, "quantity": 20}, {"item": 31, "quantity": 150}]
L8325	[{"item": 25, "quantity": 110}, {"item": 17, "quantity": 24}]
L8328	[{"item": 17, "quantity": 121}]
L8329	[{"item": 31, "quantity": 69}, {"item": 19, "quantity": 28}]
L8333	[{"item": 19, "quantity": 22}, {"item": 32, "quantity": 80}, {"item": 33, "quantity": 73}]
L8335	[{"item": 17, "quantity": 42}, {"item": 29, "quantity": 41}]
L8336	[{"item": 19, "quantity": 30}, {"item": 17, "quantity": 66}]
L8341	[{"item": 25, "quantity": 131}, {"item": 34, "quantity": 5}]
L8343	[{"item": 26, "quantity": 72}, {"item": 25, "quantity": 80}]
L8346	[{"item": 16, "quantity": 14}, {"item": 25, "quantity": 42}, {"item": 24, "quantity": 2}]
L8349	[{"item": 17, "quantity": 124}]
L8350	[{"item": 17, "quantity": 89}]
L8353	[{"item": 31, "quantity": 72}, {"item": 33, "quantity": 114}, {"item": 25, "quantity": 72}]
L8356	[{"item": 31, "quantity": 132}]
L8358	[{"item": 29, "quantity": 32}, {"item": 17, "quantity": 37}]
L8362	[{"item": 17, "quantity": 105}]
L8363	[{"item": 19, "quantity": 33}]
L8364	[{"item": 34, "quantity": 5}, {"item": 32, "quantity": 32}, {"item": 19, "quantity": 13}]
L8368	[{"item": 19, "quantity": 11}]
L8369	[{"item": 17, "quantity": 61}, {"item": 25, "quantity": 59}]
L8371	[{"item": 25, "quantity": 34}, {"item": 29, "quantity": 36}]
L8372	[{"item": 25, "quantity": 95}]
L8375	[{"item": 2, "quantity": 100}, {"item": 4, "quantity": 100}]
L8376	[{"item": 17, "quantity": 52}, {"item": 19, "quantity": 24}]
L8377	[{"item": 25, "quantity": 34}, {"item": 19, "quantity": 22}]
L8378	[{"item": 21, "quantity": 30}]
L8381	[{"item": 17, "quantity": 37}]
L8386	[{"item": 25, "quantity": 69}, {"item": 19, "quantity": 20}]
L8387	[{"item": 17, "quantity": 63}]
L8389	[{"item": 26, "quantity": 24}, {"item": 25, "quantity": 48}]
L8391	[{"item": 17, "quantity": 56}, {"item": 33, "quantity": 78}]
L8393	[{"item": 32, "quantity": 82}]
L8394	[{"item": 25, "quantity": 115}]
L8397	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 30}]
L8398	[{"item": 31, "quantity": 400}, {"item": 24, "quantity": 6}]
L8399	[{"item": 25, "quantity": 22}, {"item": 32, "quantity": 24}]
L8403	[{"item": 17, "quantity": 72}, {"item": 19, "quantity": 10}]
L8404	[{"item": 18, "quantity": 4}, {"item": 17, "quantity": 104}]
L8408	[{"item": 25, "quantity": 67}]
L8409	[{"item": 29, "quantity": 74}, {"item": 25, "quantity": 66}]
L8411	[{"item": 19, "quantity": 36}, {"item": 26, "quantity": 28}]
L8415	[{"item": 25, "quantity": 72}, {"item": 17, "quantity": 43}]
L8416	[{"item": 21, "quantity": 45}]
L8417	[{"item": 25, "quantity": 60}, {"item": 17, "quantity": 72}]
L8423	[{"item": 32, "quantity": 52}, {"item": 26, "quantity": 62}, {"item": 17, "quantity": 24}]
L8425	[{"item": 25, "quantity": 47}, {"item": 17, "quantity": 68}]
L8426	[{"item": 19, "quantity": 24}]
L8430	[{"item": 25, "quantity": 93}, {"item": 30, "quantity": 3}]
L8431	[{"item": 19, "quantity": 32}]
L8433	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 55}]
L8437	[{"item": 19, "quantity": 88}]
L8439	[{"item": 18, "quantity": 3}]
L8441	[{"item": 17, "quantity": 73}]
L8443	[{"item": 20, "quantity": 15}]
L8444	[{"item": 29, "quantity": 140}, {"item": 32, "quantity": 44}]
L8449	[{"item": 20, "quantity": 50}]
L8450	[{"item": 26, "quantity": 16}, {"item": 16, "quantity": 16}]
L8451	[{"item": 17, "quantity": 23}, {"item": 30, "quantity": 5}]
L8452	[{"item": 32, "quantity": 68}, {"item": 17, "quantity": 90}]
L8455	[{"item": 24, "quantity": 3}, {"item": 20, "quantity": 10}, {"item": 19, "quantity": 40}]
L8458	[{"item": 29, "quantity": 72}, {"item": 19, "quantity": 100}]
L8460	[{"item": 26, "quantity": 60}, {"item": 27, "quantity": 90}]
L8462	[{"item": 18, "quantity": 3}, {"item": 17, "quantity": 78}]
L8465	[{"item": 17, "quantity": 51}, {"item": 25, "quantity": 10}, {"item": 19, "quantity": 18}]
L8467	[{"item": 17, "quantity": 69}, {"item": 32, "quantity": 44}]
L8468	[{"item": 19, "quantity": 27}, {"item": 25, "quantity": 63}]
L8471	[{"item": 18, "quantity": 3}, {"item": 17, "quantity": 61}]
L8473	[{"item": 32, "quantity": 43}, {"item": 25, "quantity": 42}]
